Gene,Clinical_Feature,Correlation,Abs_Correlation
ENSG00000234771.3,vital_status,0.3107571303844452,0.3107571303844452
ENSG00000226278.1,race,-0.31012195348739624,0.31012195348739624
ENSG00000182492.16,gleason_score,0.31002750992774963,0.31002750992774963
ENSG00000283757.1,gleason_score,-0.309842973947525,0.309842973947525
ENSG00000186583.12,gleason_score,0.3097281754016876,0.3097281754016876
ENSG00000273492.6,gleason_score,-0.30939167737960815,0.30939167737960815
ENSG00000146205.14,gleason_score,-0.30918368697166443,0.30918368697166443
ENSG00000118193.12,gleason_score,0.3089674413204193,0.3089674413204193
ENSG00000230131.6,vital_status,0.3088841736316681,0.3088841736316681
ENSG00000151136.15,gleason_score,-0.30857402086257935,0.30857402086257935
ENSG00000244471.6,gleason_score,-0.30846983194351196,0.30846983194351196
ENSG00000123975.5,gleason_score,0.3083229064941406,0.3083229064941406
ENSG00000092853.14,gleason_score,0.30825793743133545,0.30825793743133545
ENSG00000175305.17,gleason_score,0.30820295214653015,0.30820295214653015
ENSG00000146918.20,gleason_score,0.30802121758461,0.30802121758461
ENSG00000011426.11,gleason_score,0.3077271580696106,0.3077271580696106
ENSG00000104805.16,gleason_score,-0.30768245458602905,0.30768245458602905
ENSG00000168078.10,gleason_score,0.3073449730873108,0.3073449730873108
ENSG00000225032.5,vital_status,0.30724939703941345,0.30724939703941345
ENSG00000262098.1,vital_status,0.30707767605781555,0.30707767605781555
ENSG00000147536.12,gleason_score,0.30659404397010803,0.30659404397010803
ENSG00000133112.17,gleason_score,-0.30654120445251465,0.30654120445251465
ENSG00000119915.5,vital_status,0.3064521551132202,0.3064521551132202
ENSG00000177602.5,gleason_score,0.30641818046569824,0.30641818046569824
ENSG00000180998.12,gleason_score,0.3062935173511505,0.3062935173511505
ENSG00000215452.5,gleason_score,-0.30616137385368347,0.30616137385368347
ENSG00000142731.11,gleason_score,0.30580613017082214,0.30580613017082214
ENSG00000233012.2,vital_status,0.3055838346481323,0.3055838346481323
ENSG00000244151.1,gleason_score,0.3054572343826294,0.3054572343826294
ENSG00000164087.8,gleason_score,0.3054550290107727,0.3054550290107727
ENSG00000161800.13,gleason_score,0.3053809404373169,0.3053809404373169
ENSG00000250846.6,gleason_score,-0.3048402965068817,0.3048402965068817
ENSG00000224958.6,gleason_score,-0.30468085408210754,0.30468085408210754
ENSG00000139354.11,gleason_score,0.3044467866420746,0.3044467866420746
ENSG00000148773.14,gleason_score,0.3042656183242798,0.3042656183242798
ENSG00000235848.4,gleason_score,-0.304205060005188,0.304205060005188
ENSG00000134020.8,gleason_score,-0.30388113856315613,0.30388113856315613
ENSG00000144395.18,vital_status,0.3037651777267456,0.3037651777267456
ENSG00000258947.7,gleason_score,0.3035222291946411,0.3035222291946411
ENSG00000125319.15,gleason_score,0.3031511604785919,0.3031511604785919
ENSG00000175643.10,gleason_score,0.30312034487724304,0.30312034487724304
ENSG00000007968.7,gleason_score,0.3029385507106781,0.3029385507106781
ENSG00000109205.16,vital_status,0.3026107847690582,0.3026107847690582
ENSG00000140534.14,gleason_score,0.3024290204048157,0.3024290204048157
ENSG00000118194.20,vital_status,0.3019168972969055,0.3019168972969055
ENSG00000167550.11,gleason_score,0.30114567279815674,0.30114567279815674
ENSG00000255966.1,gleason_score,0.30092963576316833,0.30092963576316833
ENSG00000244582.2,vital_status,0.30053332448005676,0.30053332448005676
ENSG00000004468.13,gleason_score,-0.3003998398780823,0.3003998398780823
ENSG00000162738.6,gleason_score,-0.3003840148448944,0.3003840148448944
ENSG00000165244.7,gleason_score,0.30008167028427124,0.30008167028427124
